,Unnamed: 0,service_request_id,grievance,translated_text
46,46,101004370909,Number of rats: [6]  Rat bites: [No]  Rats in the house: [No]  Rats outside of property: [Yes]  What is the nature of the problem: [Constituent states that there are rats burrowing from the sidewalk underneath her fence and onto her property. The hole gets bigger and bigger everyday. Requesting an inspector.],Número de ratas: [6] Mordeduras de ratas: [No] Ratas en la casa: [No] Ratas fuera de la propiedad: [Sí] ¿Cuál es la naturaleza del problema: [Constituente afirma que hay ratas que se esconden desde la acera debajo de su cerca y en su propiedad. El agujero se hace cada día más grande. Solicitar un inspector.]
47,47,101004372012,"Scheduled trash day: [Mon/Thurs]  How was your trash placed out for collection: [Barrel]  If 'Barrel', please specify the size of the barrel: [65 plus]  Is your trash curbside pickup or an alley: [Curb Side Pickup]  Does the trash contain any construction material, paints, plumbing fixtures or tires: [No]","Día programado de la basura: [Mon/Thurs] ¿Cómo se colocó su basura para la recogida: [Barrel] Si 'Barrel', por favor especifique el tamaño del barril: [65 plus] ¿Es su recolección de basura lado de la borda o un callejón: [Curb Side Pickup] ¿La basura contiene cualquier material de construcción, pinturas, accesorios de plomería o neumáticos: [No]"
48,48,101004372049,Water is still not working. Please fiz,El agua todavía no funciona.
49,49,101004372021,15 Garden St.,15 Garden St.
50,50,101004371174,Overflowing dumpster is located in alley behind 1667 Blue Hill Ave. Must enter alley from Cummins Hwy. Alley is adjacent to 926 Cummins Hwy. |,El vertedero desbordante se encuentra en el callejón detrás de 1667 Blue Hill Ave. Debe entrar en el callejón de Cummins Hwy. Alley es adyacente a 926 Cummins Hwy.
51,51,101004372045,Bench on main sidewalk in Boston Common has some items for sale on display as well as graffiti.,"Banco en la acera principal en Boston Common tiene algunos artículos en venta en exhibición, así como graffiti."
52,52,101004372044,Trash went out late and could the city come back please one barrel. | Scheduled trash day: [Thursday]  How was your trash placed out for collection: [Barrel]  Curbside pickup or an alley: [Curb Side Pickup],La basura salió tarde y podría la ciudad volver por favor un barril. Día de basura programado: [Jueves] ¿Cómo se colocó su basura para la recogida: [Barrel] Recojo de la curva o un callejón: [Curb Side Pickup]
53,53,101004372039,Ticket has been issued by Code Enforcement.  Please pick up the trash on the West 8th St side. Thank you.,"Por favor, recojan la basura en el lado oeste de la calle 8."
54,54,101004372040,There is a dead bird on the pedestrian bridge. Also there has been a broken glass beer bottle at the bottom part of ramp for weeks,Hay un pájaro muerto en el puente peatonal. También ha habido una botella de cerveza de vidrio roto en la parte inferior de la rampa durante semanas
55,55,101004371830,"The resident is requesting someone go and tag this car its hangs over the driveway all the time,There are 2 older resident live in the home can  they can't turn to get out of the driveway. | The closest intersecting street: [Alfa Rd]  How is the car parked illegally: [Other]  Details: [Please tag]  Make: [Audi]  Vehicle License Plate Registration: [9FF912]  Vehicle License Plate State: [MA]","El residente está solicitando a alguien ir y etiquetar este coche sus cuelga sobre el camino de entrada todo el tiempo, Hay 2 residentes mayores viven en la casa pueden no pueden girar para salir de la entrada.  La calle más cercana que se cruza: [Alfa Rd] ¿Cómo está el coche estacionado ilegalmente: [Otro] Detalles: [Por favor etiqueta] Marca: [Audi] Registro de matrícula de vehículo: [9FF912] Estado de matrícula de vehículo: [MA]"
56,56,101004371902,Trash left on sidewalk,Papelera izquierda en la acera
57,57,101004371826,Too close to hydrant,Demasiado cerca de la hidrante
58,58,101004371161,I requested for a bulk item pick up today(Wed-Trash day). They never picked it up and it's still on the curb. I have a tracking # and everything. Can it please be picked up.,Pedí para un artículo a granel recoger hoy (día del miércoles-Trash). Nunca lo recogieron y todavía está en la acera. Tengo un seguimiento # y todo. ¿Puede ser recogido por favor.
59,59,101004371452,3 carts missed | Scheduled recycling day: [Wednesday]  How was the recycling placed out for collection: [Cart]  Curbside pickup or an alley: [Curb Side Pickup],3 carritos perdidos  Día de reciclaje programado: [Miércoles] ¿Cómo se colocó el reciclaje para la recogida: [Cart] Recojo de Curbside o un callejón: [Curb Side Pickup]
60,60,101004372036,The sign is broken on the sidewalk please send someone to fix thank u,"El cartel está roto en la acera, por favor, envía a alguien para arreglar gracias."
61,61,101004372035,Scheduled trash day: [Thursday]  Please specify the details of the missed collection: [I have barrel that has a broken up toilet in it and it was not taken! It is in my yard now and still in the trash bag in the barrel!],"Día de basura programado: [Jueves] Por favor, especifique los detalles de la colección perdida: [Tengo barril que tiene un inodoro roto en él y no fue tomado! Está en mi patio ahora y todavía en la bolsa de basura en el barril!]"
62,62,101004372034,Another day. Illegally stopped cars causing traffic log jam on Summer St at Atlantic Av. Everyday causing an unsafe situation.,Otro día. Pararon ilegalmente los coches causando atascos de tráfico en la calle Summer en Atlantic Av. Todos los días causando una situación de inseguridad.
63,63,101004371165,Need to be trimmed in back and front |,Necesidad de ser recortado en la parte posterior y delantera
64,64,101004372033,Multiple cars double parked for an hour,Múltiples coches estacionados por una hora
65,65,101004372031,Tenant did not pick-up dog waste. This was pointed out to the property maintenance crew today who also ignored it and left it exposed.,"El inquilino no recogió residuos de perros, lo que se señaló a la tripulación de mantenimiento de la propiedad hoy en día, que también lo ignoró y lo dejó expuesto."
66,66,101004372029,Hummer on snow hill RPP Cornwr of snow hill and prince,Hummer en la colina de nieve RPP Cornwr de la colina de nieve y príncipe
67,67,101004371798,How was your waste placed out for collection: [Yard Waste Paper Bag]  Scheduled trash day: [Wednesday]  Curbside pickup or an alley: [Curb Side Pickup],¿Cómo se colocó su basura para la recogida: [bolso de papel de desecho de tierra] Día de basura programado: [miércoles] Recojo de la curva o un callejón: [Curb Side Pickup]
68,68,101004372028,7 Hopkins St not in lagan.  3 units no carts | Recycling pickup day: [Tuesday]  No. of carts: [1]  No. of units: [3],7 Hopkins St no en lagan. 3 unidades no carts  Recycling pickup day: [Martes] No. de carts: [1] No. de unidades: [3]
69,69,101004341040,"Litter EVERYWHERE in the park.  Also, it needs to be mowed.","Literar en todo el parque. Además, necesita ser cortado."
70,70,101004336215,Replace 19' concrete pole w/43W LED fixture | Electric or gas light: [Electric],Reemplazar el poste de hormigón de 19' w/43W LED  Luz eléctrica o de gas: [Eléctrico]
71,71,101004370754,Please fine this daycare for leaving dirty diapers outside.,"Por favor, arregla esta guardería por dejar pañales sucios afuera."
72,72,101004372020,Blue SUV w NJ license plate illegally parked in resident only parking,Azul SUV w matrícula NJ estacionado ilegalmente en el estacionamiento sólo residente
73,73,101004371207,Rat in yard. Probably attracted by garbage.,"Rata en el patio, probablemente atraída por la basura."
74,74,101004370806,Scheduled recycling day: [Wednesday]  How was the recycling placed out for collection: [Cart]  Curbside pickup or an alley: [Curb Side Pickup],Día de reciclaje programado: [Miércoles] ¿Cómo se colocó el reciclaje para la recogida: [Cart] Recojo de Curbside o un callejón: [Curb Side Pickup]
75,75,101004372019,the entire sidewalk from 105 S Huntingtotn Ave to Huntington Ave is covered with litter and debris | Type of debris: [Debris Pickup]  Cars parked on the street: [Yes],toda la acera de 105 S Huntingtotn Ave a Huntington Ave está cubierta de basura y escombros  Tipo de escombros: [Debris Pickup] Coches estacionados en la calle: [Sí]
76,76,101004084953,Problem: [Constituent states the light was damaged in October and the damaged pole was removed. Constituent is requesting a new light be installed because it is very dark.  Called to check on the status of this case and states that 40 is out as well (see case 4077682)],Problema: [Los estados constitutivos de la luz fue dañada en octubre y el poste dañado fue removido. Constituyente está solicitando que se instale una nueva luz porque es muy oscura. Llamado para comprobar el estado de este caso y declara que 40 también está fuera (véase el caso 4077682)]
77,77,101004372017,Street closed off.,Calle cerrada.
78,78,101004372011,Shopping cart on sidewalk,Carrito de compras en la acera
79,79,101004371979,Signal problem: [Traffic]  Type of problem: [Controller/Timing Issues]  Pole knockdown: [No],Problema de la señal: [Trafico] Tipo de problema: [Problemas de Controlador/Timing] Derribo del polo: [No]
80,80,101004371432,Bush over growing sidewalk,Bush sobre la vereda en crecimiento
81,81,101004370360,"Elderly constituent reports yard waste was missed on Monday,states she put them in the yard aste paper bags and they broke open from the rain. States she put them in green bags and does not have any barrels to put them in. Requesting if they can still be picked up. | How was your waste placed out for collection: [Yard Waste Paper Bag]  Barrels or bags over 50 lbs: [No]  Scheduled trash day: [Mon/Thurs]  Curbside pickup or an alley: [Curb Side Pickup]  Yard waste mixed with household trash: [No]","Los ancianos informes constituyentes residuos de patio se perdió el lunes, dice que los puso en el patio bolsas de papel aste y se rompió de la lluvia. Estados que los puso en bolsas verdes y no tiene ningún barril para ponerlos en. Solicitar si todavía se pueden recoger.  Cómo se colocó su desecho para la recogida: [bolsa de papel de basura de tierra] Barriles o bolsas de más de 50 libras: [No] Día de basura programada: [Mon / Thurs] Recojo de Curbside o un callejón: [Curb Side Pickup] Desecho de patio mezclado con basura doméstica: [No]"
82,82,101004370945,Empty Lot is between 41 & 33 angell st..doesn't let me put the address for empty lot exsesive trash on property,Vacío Lote es entre 41 y 33 angell st..doesn't me dejan poner la dirección para la basura exseive del lote vacío en la propiedad
83,83,101004370942,It's an empty lot between 41 & 33 angell st I believe it's 37 angell st doesn't let me put that address on page....excessive trees on street...people can't even walk on street,Es un lote vacío entre 41 y 33 angell st Creo que es 37 angell st no me deja poner esa dirección en la página.... árboles excesivos en la calle... la gente ni siquiera puede caminar por la calle
84,84,101004371790,"Opposite side of street Overgrowth from property,","Frente a la calle sobrecrecimiento de la propiedad,"
85,85,101004372010,What is the reason for the request: [Constituent reported that the traffic lights turn red at the same time for both directions.],¿Cuál es la razón de la solicitud: [Constituente informó que el semáforo se vuelve rojo al mismo tiempo para ambas direcciones.]
86,86,101004372006,"Construction debris: [Recently had a garage built, leftover materials. Along with tree limbs/yard waste & fence leaning onto neighbor's property]  Exact location: [Side & rear of property]","Desechos de la construcción: [Recientemente tenía un garaje construido, materiales sobrantes. Junto con las extremidades de los árboles/desechos de los patios y cercas apoyados en la propiedad del vecino] Ubicación exacta: [Side & retaguardia de la propiedad]"
87,87,101004235229,Please install 19ft cement pole with single standard arm 70w fixture and tie in as needed,"Por favor, instale un poste de cemento de 19 pies con un solo brazo estándar de 70w y ate según sea necesario"
88,88,101004372002,Basket ball entrance on Adams.There are 2 orange coolers.Nexted to the coolers are 3 used condom. | SR Type: [Litter/Glass]  Park owner: [BPRD],La entrada de la bola de la cesta en Adams.Hay 2 refrigeradores de color naranja.A continuación a los refrigeradores son 3 condón usado.  SR Tipo: [Litter / brillo] Propietario del parque: [BPRD]
89,89,101004371913,Front of 47 walk hill street.  Illegal dumping.  Violation issued,"Frente a la calle de la colina 47, vertido ilegal. Violación emitida"
90,90,101004342554,"Public safety sign: [No]  Type of sign: [""Ashton St"" sign]  Is the pole still there: [Yes]","Señal de seguridad pública: [No] Tipo de señal: [""Señal de Ashton St""] ¿Está el poste todavía allí: [Sí]"
91,91,101004370971,"Other | Details: [Barrels left in public alleyway, preventing vehicle access.]  Exact location: [Left of property when looking at the front door.]","Otros  Detalles: [Barriles dejados en el callejón público, impidiendo el acceso del vehículo.] Ubicación exacta: [Izquierda de la propiedad al mirar la puerta principal.]"
92,92,101004371973,Yard Sticker: [10],Pegatina de yarda: [10]
93,93,101004371965,Trash barrels on the sidewalk still,Los barriles de basura en la acera todavía
94,94,101004371356,Lights and electricity out on the streets,Luces y electricidad en las calles
95,95,101004371998,"Other | Details: [Constituent reports abandoned vehicles on the lot, as well as yard waste & tree limbs. States they trim the visisble front but leave it a mess out of sight]  Exact location: [Rear of 70 Stanley st, can be seen from next to 56 Hamilton St]","Otros  Detalles: [Informes constitutivos de vehículos abandonados en el lote, así como residuos de patio y extremidades de árboles. Estados que recortan el frente vissible, pero dejar un desorden fuera de la vista] Ubicación exacta: [Rear de 70 Stanley st, se puede ver desde al lado de 56 Hamilton St]"
96,96,101004370616,"Constituent reports her recycling was missed, rest of the street was collected. | Scheduled recycling day: [Wednesday]  How was the recycling placed out for collection: [Cart]  Curbside pickup or an alley: [Curb Side Pickup]","Informes constituyentes su reciclaje se perdió, el resto de la calle fue recogido.  Día de reciclaje programado: [Miércoles] ¿Cómo se colocó el reciclaje para la recogida: [Cart] Recojo de Curbside o un callejón: [Curb Side Pickup]"
97,97,101004371995,Recycling pickup day: [Friday]  No. of carts: [1]  No. of units: [1],Día de recogida del reciclado: [Viernes] No de carros: [1] No de unidades: [1]
98,98,101004371993,"Date of scheduled pickup: [Friday, July 8, 2022 ***]  Item requested for a collection: [TV (2) Air Conditioner (0) Refrigerator/Freezer (0) Water Cooler (0) Dehumidifier (0) Computer Monitor (0)]  Trash day: [Thursday]  Curbside pickup or an alley: [Curbside Pickup]","Fecha de recogida programada: [Viernes, 8 de julio de 2022 ***] Artículo solicitado para una colección: [TV (2) Aire acondicionado (0) Refrigerador/Congelador (0) Enfriador de agua (0) Dehumidificador (0) Monitor de computadora (0)] Día de la basura: [Jueves] Recojo de la curva o un callejón: [Curbside Pickup]"
99,99,101004371991,Leaking fire hydrant,Hidratante fugante de incendios
100,100,101004371889,5 doubles,5 dobles
101,101,101004371990,Trash everywhere,Papelera en todas partes
102,102,101004371912,"Constituent reports multiple vehicles on Burrell St that are double parked, blocking hydrants and parked too close to the inersection so that cars cannot see into oncoming traffic, requesting the area be tagged. | How is the car parked illegally: [Other]  Type of vehicle: [Car]  Details: [Multiple vehicles]  Make: [Other]  Model: [Unknown]  Color: [Unknown]","Constituyente informa de múltiples vehículos en Burrell St que están estacionados en doble fila, bloqueando las hidrantes y estacionados demasiado cerca de la inersección para que los coches no puedan ver en el tráfico entrante, solicitando que el área sea etiquetada.  ¿Cómo es el coche estacionado ilegalmente: [Otro] Tipo de vehículo: [Coche] Detalles: [Vehículos múltiples] Marca: [Otro] Modelo: [Unknown] Color: [Unknown]"
103,103,101004371611,No resident sticker,Sin pegatina residente
104,104,101004371989,"Constituent states that this company repeatedly has a truck parked in front of this senior home. These are commerical vehicles and they are parked halfway on the sidewalk. Residents don't have access, for drop off and deliveries. Requesting ticketing and tow. | How is the car parked illegally: [Other]  Type of vehicle: [Truck]  Details: [Flora Explora]  Make: [Unknown]  Model: [Truck]  Color: [White]  Vehicle License Plate Registration: [N12883]  Vehicle License Plate State: [MA]","Constituyente afirma que esta compañía repetidamente tiene un camión estacionado frente a esta casa de ancianos. Estos son vehículos comerciales y están estacionados a mitad de camino en la acera. Los residentes no tienen acceso, para entregas y entregas. Solicitud de entrada y remolque.  Cómo es el coche estacionado ilegalmente: [Otro] Tipo de vehículo: [Truck] Detalles: [Flora Explora] Marca: [Unknown] Modelo: [Truck] Color: [Blanco] Licencia de matrícula de vehículo: [N12883] Estado de matrícula de vehículo: [MA]"
105,105,101004368619,2 TVs were not picked up for their scheduled time. Constituent is concerned because Governor is coming to street today. | Item(s) that was/were supposed to be picked up: [TV]  Scheduled trash day: [Monday]  Curbside pickup or an alley: [Curb Side Pickup],2 televisores no fueron recogidos para su hora programada. Constituyente está preocupado porque Gobernador está llegando a la calle hoy.  Objeto(s) que era / se suponía que debían ser recogidos: [TV] Día de basura programada: [Lunes] Recojo de Curbside o un callejón: [Curb Side Pickup]
106,106,101004371523,Fire lane,Calle de incendios
107,107,101004371265,Multiple lights out all over and one with no lights at all.,Múltiples luces apagadas por todas partes y una sin luces en absoluto.
108,108,101004371287,Yard waste not picked up.,Desperdicios de yarda no recogidos.
109,109,101004288355,attn: ballcrew please advise the ymca permit holders request to have the field for t-ball games on tuesdays & thursday the field has hard dirt piles  and weeds in the field | SR Type: [Ball fields]  Park owner: [BPRD],"attn: ballcrew Por favor, avise a los titulares de permisos de ymca solicitar tener el campo para los juegos de t-ball los martes y jueves el campo tiene montones de tierra dura y malas hierbas en el campo  SR Tipo: [Campos de bola] Propietario del parque: [BPRD]"
110,110,101004371707,Constituent states that this section of Paris St has many non residential vehicles taking parking. Requesting ticketing and tow. | How is the car parked illegally: [Resident parking spot]  Details: [Multiple Vehicles],Constituyente afirma que esta sección de París St tiene muchos vehículos no residenciales que toman el estacionamiento. Solicitud de billetes y remolque.  ¿Cómo está el coche estacionado ilegalmente: [lugar de estacionamiento residente] Detalles: [Víviles múltiples]
111,111,101004371986,Logan airplane noise going on now,Ruido del avión Logan en marcha ahora
112,112,101004366906,"Babe Ruth tournament tommorow 6/29 on babe ruth field (Sal Manowiths field) replace home plate, asap. | SR Type: [Ball fields]  Park owner: [BPRD]","Babe Ruth torneo mañana 6/29 en babe ruth field (campo Sal Manowiths) reemplazar placa casera, lo antes posible.  SR Tipo: [Campos de bola] Propietario del parque: [BPRD]"
113,113,101004371883,Right inside Central Burying Grounds next to entrance gate.,Justo dentro de Central Burying Grounds junto a la puerta de entrada.
114,114,101004371518,Scheduled recycling day: [Wednesday]  How was the recycling placed out for collection: [Cart]  Curbside pickup or an alley: [Curb Side Pickup],Día de reciclaje programado: [Miércoles] ¿Cómo se colocó el reciclaje para la recogida: [Cart] Recojo de Curbside o un callejón: [Curb Side Pickup]
115,115,101004371985,"Other | Details: [they leave their back gate on school street wide open blocking the sidewalk.  Whe the day care provider with ten children tried to move it out of the way so the children didn't have to walk in the street thay came out cursing at her and prevented here from closing it.  It completely blocks the sidewalk.]  Exact location: [rear, school]","Otros  Detalles: [salen de su puerta trasera en la calle de la escuela abierta de par en par bloqueando la acera. Si el cuidador de día con diez niños trató de moverlo fuera del camino para que los niños no tuvieran que caminar por la calle thay salió maldiciendo a ella e impidió aquí cerrarla. Bloquea completamente la acera.] Ubicación exacta: [rear, escuela]"
116,116,101004371726,Car blocking driveway,Bloqueo de la entrada del coche
117,117,101004371982,"Pothole in the asphalt at the end of Claremont Street, where it turns into alley 536 north in the South End. Claremont St starts at the end of Greenwich Park and runs along the SW Corridor Park","Pozo en el asfalto al final de la calle Claremont, donde se convierte en callejón 536 norte en el extremo sur. Claremont St comienza en el extremo de Greenwich Park y corre a lo largo del SW Corredor Park"
118,118,101004371981,Consistent rodent activity coming from outside into the basement and into all units in the building. | Number of Rats: [5]  Rat Bites: [No]  Rats in House: [Yes]  Rats Outside Property: [No],Actividad consistente de roedores que vienen desde fuera en el sótano y en todas las unidades en el edificio.  Número de ratas: [5] Ratas mordeduras: [No] Ratas en casa: [Sí] Ratas Propiedad exterior: [No]
119,119,101004355499,"The fire alarm at 8-9 monument sq (same owner) has been going off for 24 hours. There's not emergency and they're in the midst of a major renovation, but it's extremely disturbing to the neighborhood","La alarma de incendio en 8-9 monumento cuadrado (mismo propietario) ha estado sonando durante 24 horas. No hay emergencia y están en medio de una renovación importante, pero es extremadamente perturbador para el barrio"
