 playground,patio de recreo
tagging,etiquetado
bus stop,parada de autobús
overgrown,crecido a lo largo
over grown,crecido a lo largo
cul de sac,Calle o callejón sin salida
cul-de-sac,calle sin salida
transients,transitorios
piled with junk,apilado con montones de basura
piles of junk,montones de basura
harassing,acoso
attempted break in,intento de robo
attempted break-in,intento de robo
break in,irrumpir
break-in,allanamiento
blocking my driveway,bloqueando mi acceso o entrada
driveway,entrada de coches
auto shop,taller de autos
autoshop,tienda de auto
church lot,estacionamiento de la iglesia
construction,construcción
construction work,trabajo de construcción
disabled parking sign,signo de estacionamiento para discapacitados
disable parking sign,signo de estacionamiento para discapacitados
chain link fence,cerca de alambre
chainlink fence,cerca de alambre
bags of trash,bolsas de basura
bag of clothing,bolsa de ropa
on the sidewalk,en la acera
misc,misceláneos
residence,residencia
in front of residence,frente a la residencia
bag of trash,bolsa de basura
bed frame,marco de la cama
barking dog,perro ladrando
BBQ,barbacoa
blocking sidewalk,bloqueando la acera
blocking driveway,bloqueando la calzada
bee swarm,enjambre de abejas
Is it stolen?,¿Es robado?
near corner of,cerca de la esquina de
basketball,baloncesto
basketball post,poste de baloncesto
no one has seen,nadie lo ha visto
been at this spot,estado en este lugar
drawers,cajones
trailer,remolque
broken into,asaltar / allanar
someone is living there,alguien está viviendo allí
submitted a request,presentado una solicitud
already submitted a request,ya se ha presentado una solicitud
submitted a report,presentó un informe
already submitted a report,ya se ha presentado un informe
how long can you park a,¿cuánto tiempo puede estacionar un o una
been parked in front of,estacionado delante de
been parked in same spot,ha estado estacionado en el mismo lugar
been parked in same spot for over a month,ha estado estacionado en el mismo lugar durante más de un mes
smells bad,huele mal
flat tire,Llanta desinflada
vandal,vándalo
vandalize,vandalizar
gas station,estación de gasolina
safety hazard,peligro para la seguridad
bench,banco
behind the fence,detrás de la cerca
brick wall,pared de ladrillo
been there for weeks,estado allí durante semanas
been there for a week,estado allí durante una semana
light out,luz descompuesta
billing,facturación
billing inquiry,consulta de facturación
bill inquiry,consulta factura
bio hazard,bio-peligroso
biohazards,bio-peligrosos
people park in the red zone,estacionados en la zona roja
red zone,zona roja
red curb,acera roja
blocking red curb,el bloqueo de acera roja
blocking parking,bloqueo de estacionamiento
blocking fire access,bloqueando el acceso de incendios
blocking red zone,el bloqueo de zona roja
blocking our driveway,bloqueando nuestra calzada
parked car,vehículo estacionado
box spring,somier
boat trailer,remolque del barco
boat trailer never moves,remolque del barco no se mueve
vehicle may be stolen,vehículo puede ser robado
homeless people,gente sin hogar
encampment,campamento
broken branch,rama rota
cross street,cruce de calles
people living inside,las personas que viven en el interior
reported multiple times,reportadas varias veces
won't move,no se moverá
smells really bad,huele muy mal
broken fence,cerca rota
garbage & recycle,basura y de reciclaje
broken glass,vidrio roto
broken garbage,basura rota
broken garbage cart,recipiente de basura roto
broken recycle,reciclaje roto
broken lid,tapa rota
broken garbage lid,tapa de basura rota
parking strip,franja de estacionamiento
homeless people live there,personas sin hogar viven allí
watch for needles,atento a las agujas
building inspections,inspecciones de edificios
building permit,permiso de construcción
traffic signal,señal de tráfico
traffic signals,Señales de tráfico
building permits,permisos de construcción
not social distancing,No distanciamiento social
face mask,mascarilla
bunch of furniture,montón de muebles
bunch of kids partying,grupo de niños de fiesta
business tax,impuestos comerciales/empresas/negocios
business tax payments,pagos de impuestos de negocios
business license,licencia comercial
same spot for over a month,mismo lugar durante más de un mes
parked in same spot for over a month,estacionado en el mismo lugar durante más de un mes
parked in same spot for over a week,estacionado en el mismo lugar durante más de una semana
parked in same spot,estacionado en el mismo lugar
busted windows,ventanas rotas
dumped dishwasher,lavadora de platos abandonada
dishwasher,lavadora de platos abandonada
dish washer,lavadora de platos abandonada
park strip,franja de estacionamiento/franja verde
parkstrip,franja de estacionamiento/franja verde
broken windows,ventanas rotas
broken window,ventana rota
couch on sidewalk,sofá en la acera
mattress on sidewalk,colchón en la acera
random boxes,cajas al azar
random boxes dumped on sidewalk,cajas al azar arrojados en la acera
random boxes dumped on parkstrip,cajas al azar arrojadas en el franja verde
large furniture items on park strip,muebles grandes en la franja verde
large furniture items on parkstrip,muebles grandes en la franja verde
broken glass on street,vidrios rotos en la calle
broken glass on sidewalk,vidrios rotos en la acera
refrigerator on park strip,nevera en la franja verde
refrigerator on sidewalk,nevera en la acera
Caller had a garbage billing issue.,persona que hace la llamada tenía un problema con la factura de la basura.
Caller had a garbage billing question.,persona que hace la llamada tenía uns pregunta acerca de la factura de la basura
Caller had a missed recycle pick-up.,persona que hace la llamada indicó que no recogieron el reciclaje
non-emergency police,policia - no emergencia
non-emergency police department,departamento de policía - no emergencia
water service,servicio de agua
car blocking driveway,vehículo bloqueando la calzada
fence post,poste de la cerca
car alarm,alarma de carro
car alarm goes off all night,alarma de carro suena toda la noche
car has been abandoned,coche ha sido abandonado
possibly stolen,posiblemente robada
possibly stolen car,carro posiblemente robado
car has been parked for more than a week,automóvil ha estado estacionado durante más de una semana
car has been parked for more than one week,coche ha estado estacionado por más de una semana
left unmoved,no ha sido movido
car left unmoved,carro no ha sido movido
car parked illegally,corre estacionado ilegalmente
car has been parked here for a month,automóvil ha estado estacionado aquí durante un mes
car has been parked here for a week,automóvil ha estado estacionado aquí por una semana
car has not moved in weeks,carro no se ha movido en semanas
car impounded,carro confiscado
parked in same place,estacionado en el mismo lugar
parked in front of duplex,estacionado delante del dúplex
duplex,dúplex
car parked in red zone,vehículo/automovil/carro estacionado en la zona roja
car tags were expired,etiquetas del vehículo/automovil/carro caducaron
double-parked,en doble fila
double parked,estacionado en doble fila
car doing donuts,carro haciendo donuts
cars doing donuts,carro haciendo donuts
car speeding down,carro a toda velocidad
cars speeding down,carros a toda velocidad
housing,vivienda
How can I pay my bill?,¿Cómo puedo pagar mi factura?
storage container,contenedor de almacenamiento
human resources,recursos humanos
homeless man sleeping,hombre sin hogar está durmiendo
I can't reset my password.,No puedo restablecer mi contraseña.
"I cannot reset my password. ",No puedo restablecer mi contraseña.
I'm trying to login,estoy tratando de iniciar la sesión
keep closing my request,sigue cerrando mi solicitud
close request,se cerrá la solicitud
illegal dumping sofa,vertido ilegal de un sofá
illegal dumping on parking lot,vertido ilegal en el estacionamiento
in front of,en frente de
in front of house,frente a la casa
inspection,inspección
intersection,intersección
broken water lines,rompimiento de líneas de agua
suspicious car,automovil/carro sospechoso
Could you please replace?,¿Podría por favor reemplazar?
What is the status of this request?,¿Cuál es el estado de esta solicitud?
LED light,Luz LED
box spring,somier
junk,basura
junk pick up,recoger basura
light is out,la luz no funciona
light out,la luz no funciona
feels very unsafe,se siente muy inseguro
feels unsafe,se siente inseguro
litter,basura
loud music,música a todo volumen
washing machine,lavadora de ropa
retaining wall,muro de contención
stolen car,carro robado
dumped car,carro abandonado
piece of junk,pedazo de chatarra
Marriage license,Licencia de matrimonio
marijuana,marihuana
baby carseat,asiento de coche de bebé
mattress on street,colchón en la calle
mattress king size,colchón tamaño king
mattress queen size,colchón tamaño queen
mayor,alcalde
miss pickup,no fue recogido
missed garbage,no recogieron la basura
yard cart,recipiente del patio
yard trim cart,recipiente de basura para las podas del patio
missing recycle cart,contenedor de reciclaje que falta
I forgot the security question,He olvidado la pregunta de seguridad
auto pay,pago automático
mobile home,casa móvil
report mobile home,reportar casa móvil
soundwall,pared a prueba de ruido
new can replacement,reemplazo para un recipiente nuevo
new can request,solicitud de recipiente nuevo
new garbage can,nuevo recipiente de basura
new garbage can request,solicitud de recipiente de basura nuevo
new garbage cart,nuevo recipiente de basura
new service,servicio nuevo
no license plates,no tiene placas
non-resident,no residente
non resident,no residente
corona,corona
malfunction of this light,mal funcionamiento de esta luz
nearest cross street,calle más cercana
non compliance,incumplimiento
non-compliance,incumplimiento
oil jugs,recipientes de aceite
parking violation,violación de estacionamiento
on electricity pole,en el poste de la electricidad
on light pole,en el poste de la luz
overpass,paso elevado
utiliity pole,poste de servicio público
sign pole,poste del aviso/señal
on sign pole,en el poste del aviso/señal
on sign,en la señol/aviso
on utility box,en el armario de servicios públicos
traffic signal pole,poste de la señal de tránsito
online assistance,asistencia en línea
online help,ayuda en linea
our car was stolen,se robaron nuestro carro
overgrown weeds,maleza/yierba muy grande
paid,pagado
park concerns,preocupaciones del parque
parked here without moving,estacionado aquí sin mover
parked in red zone,estacionado en la zona roja
expired plates,placas caducadas
parking permit,permiso de estacionamiento
pedestrian crossing,cruce peatonal
pedestrian crossing button,Botón del paso de peatones
pile of garbage,pila de basura
police report,reporte policial
police issue,"asunto policiaco "
rate letter,carta de tarifas
rate increase,incremento de las tarifas
recycle cart,contenedor de reciclaje
recycle cart repair,reparación del contenedor de reciclaje
recycle questions,preguntas de reciclaje
rental rights,los derechos de arrendamiento
replace bin,reemplazar el contenedor
replace yard cart,reemplazar el contenedor de los desperdicios del patio
replace garbage,reemplazar la basura
replace garbage cart,reemplazar el contenedor de basura
retirement services,servicios de jubilación
roadkill,animal atropellado
sewer,alcantarillado
sewer backup,desbordamiento de alcantarillado
sidewalk needs repair,acera necesita reparación
start service,Empieza el servicio
stop service,parada de servicio
storm drain,desagüe de aguas pluviales
Help keep San Jose safe and clean!,¡Ayuda a mantener a San José segura y limpia!
Start water services,Iniciar servicios de agua
Pay my bill,Pagar mi cuenta
Report dumped furniture,Denunciar muebles desechados
Report abandoned vehicle,Reportar vehiculo abandonado
City customer service open hours,Horario de servicio al ciente de la Ciudad
Broken or missing garbage container,Basurero roto o ausente
Non-essential business or activities,Negocios o actividades no-esenciales
Police non-emergency number,Número de policía para casos sin emergencia
car,carro
San José,San José
"Only go outside for food, health or essential work.","Solo salgas por comida, salud o trabajo esencial"
Stay 6 feet (two big steps) away from others.,"Mantente a 6 pies (dos grandes pasos) de distancia de los demas "
Wash your hands when you get home for 20 seconds.,Lávate las manos cuando llegues a casa por 20 segundos.
"Only leave home for food, health or essential work.","Solo salgas por comida, salud o trabajo esencial."
"Stop coronavirus. ",Frena el coronavirus.
Stay home.,Quédate en casa.
You may be home but you aren't alone in this.,"Puedes estar en casa, pero no estás solo."
"Join us in the fight to save lives. ",Únete a la lucha para salvar vidas.
Someone you love could get sick.,Alguien que amas podría enfermarse.
"Protect them. ",Protégelos.
You could be the reason others stay alive.,Podrías ser la razón por la que otros permanezcan vivos.
It's your duty.,Es tu deber.
Park Restrooms Now Open:,Los baños de los parques ahora están abiertos:
Mineta San José International Airport (SJC) is open and continues regular operations.,Aeropuerto Internacional Mineta San José (SJC) está abierto y continúa las operaciones regulares.
San José Police and Fire Departments will continue regular operations.,San José policía y los bomberos continuarán sus operaciones regulares.
Utility Services such as Garbage and Recycling remain active.,"Los servicios públicos, tales como basura y reciclaje permanecen activos."
San Jose Municipal Water will continue regular operations.,La planta de San José-Santa Clara de aguas residuales regional continuará sus operaciones regulares.
The Customer Contact Center will be available by phone at 3-1-1 (408-535-3500).,El Centro de Contacto al Cliente estará disponible por teléfono al 3-1-1 (408-535-3500).
The San José-Santa Clara Regional Wastewater Facility will continue regular operations.,La planta de San José-Santa Clara de aguas residuales regional continuará sus operaciones regulares.
couch blocking sidewalk,sofá bloqueando la acera
couch dumped on sidewalk,sofá tirado en la acera
closure inquiry,preguntas del cierre
COVID 19 closure inquiry,preguntas del cierre sobre COVID 19
social distance violation,violación de distancia social
social distancing violation,violación de distanciamiento social
street sweeping schedule,horario de barrido de calles
cart,carro
change cart size,cambiar el tamaño del carrito
clean this up,limpia esto
close the ticket,cierra el boleto
COVID closure inquiry,preguntas del cierre sobre COVID
applying for unemployment,solicitar desempleo
parking,estacionamiento
street,calle
vehicle,vehículo
caller,persona que llama
please,Por favor
garbage,basura
abandoned,abandonado
truck,camión o camioneta
bill,cuenta
dumped,desechado
business,negocio
sidewalk,acera
inquiry,investigación
expired,vencido o caducado
pole,poste
billing,factura
license,licencia
dumping,tirando desechos
illegal,ilegal
blocking,bloqueo
service,Servicio
payment,pago
trailer,el tráiler
report,reporte o informe
tow,remolcar
tax,impuesto
mattress,colchón
sign,Firma
owner,dueño
tags,etiquetas
pickup,recoger
gang,pandilla
debris,basura
neighborhood,vecindario
recycle,reciclar
pick-up,recoger
property,propiedad
yard,patio
police,policía
driveway,calzada
motor,motor
court,Corte
furniture,mueble
registration,registro
mobilehome,casa móvil
traffic,tráfico
closure,cierre
employee,empleado
construction,construcción
enforce,hacer cumplir
permits,permisos
department,Departamento
mattresses,colchones
carts,carros
impound,confiscar
code,código
dispatch,despacho
encampment,campamento
damn,Maldición
damned,maldita
dumpster,contenedor de basura
bins,contenedores
mess,desorden
stove,estufa
concrete,cemento or concreto
compliance,conformidad
suspicious,sospechoso
arborist,arboriculotr/arborista
government,gobierno
recycling,reciclaje
garbage & recycling,basura y reciclaje
closure,cierre
apartment,apartamento
chronic offender,delincuente crónico
Department of Transportation,Departamento de transporte
across the street,al otro lado de la calle
the same spot,el mismo lugar
water billing,or factura de agua
the intersection of,la intersección de
tow and impound,remolcar y confiscar
vehicle abatement,supresión de vehículos
reference number,número de referencia
reference id,Identificación de referencia
submitted date,o fecha de presentación
this has been an ongoing issue,esto ha sido un problema continuo
planning department,Departamento de Planificación
sidewalk repair,reparación de acera
USA,Estados Unidos
United States,Estados Unidos
VTA,VTA
Caltrans,Caltrans
Thank you for your vehicle abatement request,Gracias por su solicitud de supresión de vehículos
service request,petición de servicio
investigate,investigar
vehicle type:,tipo de vehiculo:
vehicle model:,Modelo de vehículo:
vehicle make:,Marca del vehículo:
"Unfortunately, we’re not authorized to remove debris near highway on-ramps or off-ramps. ","Desafortunadamente, no estamos autorizados para eliminar la basura cerca de las rampas de entrada o salida de las autopistas."
"Thanks for your request.   ",Gracias por su solicitud.
file a customer service request directly with Caltrans.,presentar una solicitud de servicio al cliente directamente con Caltrans.
"We’ve scheduled the repair. ",Hemos programado la reparación.
"Our team will be there within 7 to 21 days. ",Nuestro equipo estará allí dentro de 7 a 21 días.
"We’ve contacted our electrician. ",Hemos contactado a nuestro electricista.
They will get out there to repair the damage as soon as possible.,Ellos repararán el daño lo mas pronto posible
"We've assigned our team to repair it for you. ",Hemos asigado a nuestro equipo para que haga la reparación
That area is an active homeless encampment.,Esa zona es un áarea de campamento para personas desamparadas
Please call Homeless Encampment Concerns at 408-975-1440. ,Por favor llame a Preguntas sobre Campamentos de Indigentas al 408-975-1440
We’re unable to pick up scooters.,No podemos recoger las patinetas
Please call the scooter company directly. ,Por favor de llamar directamente a la compañía de patinetas
We’ve sent our electrician to repair the traffic signal.,Hemos enviado nuestra electricista para reparar la señal de tráfico.
"If you notice this again in the future,","Si esto le ocurre otra vez en el futuro,"
"Unfortunately, we’re not authorized to remove debris on a trail.","Desafortunadamente, no estamos autorizados para remover basura del camino (or sendero)"
Parks & Recreation,Parques y recreación
"To help schedule the pickup, we need a little more information. ","Para programar la recolección, necesitamos un poco de más de información"
Can you please resubmit your request and provide (1) the nearest address or smallest cross street and (2) a detailed description of dumped items?,¿Puede volver a enviar su solicitud y proporcionar (1) la dirección o la calle más cercana y (2) una descripción detallada de los artículos arrojados?
"Unfortunately, we’re not authorized to address concerns inside parks. ","Desafortunadamente, no estamos autorizados para abordar las preocupaciones dentro de los parques."
"Parks, Recreation & Neighborhood Services ","Parquez, Recreacion y Servicios Comunitarios"
"We'll be out there as soon as possible. ",Estaremos ahí lo más pronto posible o llegaremos lo más pronto posible
We’ve scheduled a pickup.,hemos programada la recoleccion
"To help repair the streetlight, we need additional information.","Para ayudar a reparar el alumbrado público, necesitamos informacion adicional"
Can you please provide the streetlight numbers?,¿Puede usted por favor proporcionar los números de los postes del alumbrado público?
Can you please provide the nearest addresses?,¿Puede usted proporcionar la direccoines más cercanas por favor?
"We appreciate your help in keeping San Jose safe and clean! ",¡Apreciamos su ayuda para mantener San José segura y limpia!
"It usually takes us 4 to 6 hours to pick up debris like this, which we consider high-priority. ","Por lo general, nos lleva de 4 a 6 horas para recoger los desechos de este tipo, que consideramos de alta prioridad."
high-priority,alta prioridad
It may take longer if it requires more work.,Puede tomar más tiempo si se requiere más trabajo.
"We referred this repair to PG&E. ",Hemos referido esta reparación a PG&E
"To check on the status of the repair, please contact PG&E","Para revisar el estado de la reparación, comuníquese con PG&E"
"Since this is a park light, we’ve forwarded your email to Public Works. ","Dado que esta luz esta en un parque, hemos remitido su correo electrónico al Departamento de Obras Publicas."
Public Works,Obras Publicas
"This light is in the County of Santa Clara. ",Esta luz está en el Condado de Santa Clara.
business days,días hábiles o días de negocio
This streetlight is seriously damaged. ,este alumbrado público está seriamente dañado
"We’ve notified our streetlight pole repair team. ",Hemos notificado a nuestro equipo de reparación de la luces de la calle
"Some complex issues might take longer.   ",Algunos problemas mas complejos podrian tomar más tiempo
"Sorry for any inconvenience.  ",Perdón por cualquier inconveniente.
"This light is on a private road. ",Esta luz está en una calle privada
"It’s maintained by your Home Owners Association. ",Está administrada por la Asociación de Propietarios de Vivienda.
HOA,Asociación de Propietarios
"To report the repair, please contact your HOA. ","Para informar sobre la reparación, póngase en contacto con la Asociación de Propietarios."
Home Owners Association,Asociación de Propietarios
the County,el condado
We’ll need to trim a tree to repair this light.,Vamos a tener que cortar un árbol para reparar esta luz.
"We’ve notified our Tree Contractor. ",Hemos notificado a nuestro contratista de árboles
We aim to replace all low pressure sodium streetlights with LED lights by December 2022.,Nuestro objetivo es reemplazar todos los bombillos de sodio a baja presión con luces LED para diciembre de 2022.
we’re unable to tell you when we’ll change particular streetlights to LEDs,No podemos decirle cuando vamos a cambiar ciertos bombillos a los LEDs
"If we received your email after hours or over the weekend, we’ll enter your request on the next business day. ","Si recibimos su correo electrónico fuera del horario de negocio o durante el fin de semana, ingresaremos su solicitud al siguiente día laboral."
after hours,fuera de horas
"These streetlights are out due to cut or stolen copper wire. ",Estas luzes estan fuera de servicio debido a un corte o robo de alambre de cobre.
We’re experiencing a high number of copper wire thefts.,Estamos teniendo un alto numero de robos de cable de cobre.
We apologize for the delay and appreciate your patience. ,Nos disculpamos por el retraso y agradecemos su paciencia.
We’re currently making these repairs at about 15 locations.,Actualmente estamos haciendo estas reparaciones en unos 15 lugares.
automatic reply email,correo electrónico de respuesta automática
request for LED installation,solicitud de instalación LED
broken traffic signal,señal de tráfico descompuesta
Report undrivable and unused vehicles left on public streets,Reportar vehiculos no manejables y no utilizados que quedan en la via publica
please use the Abandoned Vehicle option via the San Jose 311 app,por favor utilice la opcion de vehiculos abandonados atraves de la aplicacion de San Jose 311
garbage cart,carrito de basura
garbage container,contenedor de basura
city clerk,empleado de la ciudad
doing nothing,haciendo nada
closest intersection,intersección más cercana
code enforcement,la aplicación del código
construction debris,residuos de construcción
corner lot,lote de esquina
Corner of,Esquina de
street sweeping,barrido de calles
laundromat,lavandería
eviction moratorium,suspensión de desalojo
business considered essential,negocio considerado esencial
undocumented workers,los trabajadores indocumentados
undocumented,indocumentado
Is it essential?,¿Es esencial?
non-essential business,negocio no esenciales
non-compliant business,negocio no conforme
playing in the park,jugando en el parque
report construction,reportar construcción
under lockdown,"en aislamiento, confinado"
under lock down,"en aislamiento, confinado"
stop garbage service,detener el servicio de (recolección de) basura
I want to stop garbage service,quiero cancelar el servicio de recolección de basura
want to stop garbage service,quiero cancelar el servicio de recolección de basura
need housing,necesitar vivienda
can gardener come to work?,¿puede venir a trabajar el jardinero?
large gathering in parking lot,gran reunión en el estacionamiento
homeless services,servicios para las personas sin hogar/indigentes/desamparadas
non essential business,los negocios no esenciales
reporting violation,reportar una violación o desacato (depends on context)
unable to pay bills,incapaces de pagar las facturas
shelter in place order,orden de refugio en el lugar
shelter-in-place order,orden de refugio en el lugar
shelter in place violation,violar o desatacar la orden de refugio en el lugar
shelter-in-place violation,violar o desatacar la orden de refugio en el lugar
parking/street sweeping,estacionamiento / barrido de calles
What is an essential business?,¿Qué es un negocio esencial?
Is City Hall open?,Está abierto el Ayuntamiento?
Is the street sweeper coming today?,¿La barredora de calles va a venir hoy?
Is the street sweeper still coming?,¿La barredora de calles va a seguir viniendo?
When will City Hall re-open?,¿Cuándo volverá a abrir el Ayuntamiento?
When will City Hall reopen?,¿Cuándo volverá a abrir el Ayuntamiento?
soup kitchen,comedor de beneficencia
gang graffiti,graffiti de pandilla
suspicious activity,actividades sospechosas
gathering of large crowds,la reunión de grandes multitudes
